timestamp_utc_microseconds	price	size
1550410727586778.0	3567.91	0.27478774
1550410731802804.0	3567.91	0.00251272
1550410732703916.0	3567.91	0.4471005
1550410741340398.0	3567.91	0.01338911
1550410748661843.0	3567.91	0.01589905
1550410749391603.0	3567.91	0.49461625
1550410752800601.0	3567.91	0.338
1550410758419349.0	3567.91	0.2206147
1550410758422345.0	3568.05	0.005
1550410758423618.0	3568.2	0.02
1550410758425088.2	3568.34	0.008
1550410758427065.2	3568.35	0.30522888
1550410760338613.0	3568.34	0.02816853
1550410767560921.2	3568.35	0.0409984
1550410787909259.0	3568.35	0.08296545
1550410790722490.0	3568.35	0.13267176
1550410790940919.0	3568.34	0.14075771
1550410796447780.2	3568.35	0.0509482
1550410804282477.0	3568.35	0.00111818
1550410806438424.0	3568.35	0.0156531
1550410807308764.0	3568.35	0.0128378
1550410813975275.0	3568.35	0.4277822
1550410814014722.0	3568.35	0.01980095
1550410814174246.0	3568.35	1.35521369
1550410815823040.0	3568.87	0.001
1550410815826136.8	3568.98	0.01238746
1550410818583247.2	3568.98	0.01338746
1550410820171182.0	3568.99	0.01634684
1550410820174254.0	3569.04	0.01314963
1550410830843284.8	3569.05	0.005
1550410830844380.2	3569.18	0.00155457
1550410833797914.0	3569.19	0.005
1550410836872380.0	3569.68	0.001
1550410847999674.0	3570.0	0.06701994
1550410852447162.0	3570.0	0.27463404
1550410853729610.0	3570.0	0.02007052
1550410858632920.0	3570.0	0.02806732
1550410860386004.0	3570.0	0.0036315
1550410873336875.0	3570.0	0.02007052
1550410873677468.0	3570.0	0.01059409
1550410879568457.2	3569.99	0.25908114
1550410883484680.2	3570.0	0.13401341
1550410884977660.0	3569.99	0.00731953
1550410905023581.0	3570.0	0.0548167
1550410905025422.0	3570.0	0.08249673
1550410916842803.0	3570.0	0.00251125
1550410918261023.0	3570.0	0.01449615
1550410924538934.0	3570.0	0.00278718
1550410968796584.8	3570.0	0.0092005
1550410977495987.0	3570.0	0.002
1550410989619869.0	3570.0	0.1098513
1550410990675553.8	3570.0	0.08040749
1550410990955933.0	3570.0	0.00683139
1550410992457530.0	3570.0	0.00515908
1550411000560538.0	3569.99	0.14045502
1550411016888430.0	3570.0	0.10720905
1550411019683547.0	3569.99	0.10720905
1550411029721987.0	3570.0	0.04690553
1550411029986535.0	3570.0	0.1
1550411031361045.0	3570.0	0.00655267
1550411031803175.0	3570.0	0.00961857
1550411063464663.0	3570.0	0.4119403
1550411064138898.2	3570.0	0.00203281
1550411064139767.0	3570.0	0.02500567
1550411066501359.0	3570.0	0.08951487
1550411066504323.0	3570.0	0.09834
1550411066506534.0	3570.0	0.07346876
1550411075585803.0	3570.0	0.0078069
1550411078132923.2	3570.0	0.00223253
1550411078380179.0	3570.0	0.02680157
1550411078461471.0	3570.0	0.00975793
1550411084248313.2	3570.0	0.0027175
1550411086835703.8	3570.0	0.0078069
1550411092515822.2	3570.0	0.02007052
1550411095129116.0	3570.0	0.00655267
1550411097429808.0	3570.0	0.30822916
1550411102118487.0	3570.0	0.12358097
1550411113353294.0	3570.0	0.00515908
1550411119298872.0	3570.0	0.27462687
1550411122971428.8	3570.0	0.02871915
1550411132612624.0	3570.0	0.02680157
1550411136247739.0	3569.99	0.0660272
1550411143491163.0	3570.0	0.0040442
1550411147817074.0	3570.0	0.00111766
1550411149825332.0	3570.0	0.53604805
1550411162044059.0	3570.0	0.00557534
1550411167400498.2	3569.99	0.02269724
1550411168255962.0	3570.0	0.0828184
1550411172207190.0	3570.0	0.01670897
1550411176183114.0	3570.0	0.02680157
1550411181058432.0	3570.0	0.26802403
1550411181314759.0	3570.0	0.00836434
1550411183380926.0	3570.0	0.00278718
1550411185436050.0	3569.99	0.26802403
1550411198719901.0	3570.0	0.01059409
1550411219402413.2	3570.0	0.0409744
1550411230818946.0	3570.0	0.27462687
1550411236707728.0	3570.0	1.0
1550411245314542.0	3570.0	0.01449615
1550411248412838.0	3570.0	0.26802403
1550411250430127.0	3570.0	0.0012645
1550411250477602.0	3570.0	0.08238917
1550411253825815.0	3570.0	0.01895564
1550411254669775.0	3569.99	0.0012645
1550411258093504.0	3570.0	0.10720905
1550411267683931.0	3570.0	0.02785837
1550411269478401.0	3570.0	0.01515088
1550411271928609.0	3569.99	0.01515088
1550411276268632.0	3570.0	0.01728333
1550411279661833.0	3570.0	0.0038945
1550411281665520.0	3569.99	0.21623591
1550411288572079.0	3570.0	0.01515088
1550411288697771.0	3570.0	0.2483911
1550411294235450.0	3570.0	0.06048676
1550411294534651.0	3570.0	0.0153323
1550411296793787.0	3569.99	0.004
1550411296800669.0	3569.99	0.00998918
1550411296801647.2	3569.99	0.00276843
1550411296802505.0	3569.99	0.010001
1550411296803377.0	3569.99	0.03372815
1550411314340335.8	3570.0	0.00488036
1550411315654430.2	3570.0	0.01338127
1550411316875979.0	3569.99	0.02229426
1550411316877733.0	3569.99	0.02
1550411316879913.0	3569.99	0.02793401
1550411319465864.2	3570.0	0.00655267
1550411320955466.0	3570.0	0.02759591
1550411329579030.0	3570.0	0.00111766
1550411330389423.2	3570.0	0.00195382
1550411333078101.8	3570.0	0.00101853
1550411340428143.0	3570.0	0.00515908
1550411344300584.0	3569.99	0.395387
1550411344503638.0	3569.99	0.15577413
1550411344702157.0	3569.99	0.02090486
1550411344706193.0	3569.99	0.00840338
1550411344707187.0	3569.99	0.59108364
1550411344910795.0	3569.99	0.357693
1550411345198718.0	3569.99	0.05122336
1550411345199626.0	3569.99	0.04780107
1550411345200520.0	3569.99	0.01952757
1550411345359730.0	3569.99	0.356891
