Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,EPP,FEZ
2010/1/22,141.1399994,40.68000031,107.1699982,44.15999985,109.2099991,110.1800003,26.11000061,290.7200012,18.35666656,44.33000183,39.83000183,38.70000076
2010/1/25,141.2599945,41,107.4800034,44.31000137,109.7699966,110.2200012,25.93000031,294.480011,18.28000069,44.29000092,40.36999893,38.97000122
2010/1/26,140.5500031,40.56000137,107.5599976,44.34999847,109.3099976,110.2200012,25.71999931,292,18.4066658,43.86999893,39.68000031,38.86999893
2010/1/27,139.9600067,40.31999969,106.5299988,44.70000076,109.8300018,110.1800003,25.37000084,288.6400146,18.65999985,43.43000031,39.43999863,38.79000092
2010/1/28,139.4600067,39.91999817,106.4800034,43.54999924,108.5699997,110.1800003,25.57999992,289.2799988,18.39333344,43.54999924,39.11000061,37.88000107
2010/1/29,138.3899994,39.36000061,105.9599991,42.79000092,107.3899994,110.2200012,25.29999924,285.1199951,18.42666626,42.61999893,38.18000031,37.43999863
2010/2/1,139.0500031,39.75999832,108.3499985,43.25999832,109.0599976,110.1900024,25.26000023,293.7600098,18.62000084,44.15000153,39.02999878,38.40999985
2010/2/2,139.3800049,40.52000046,109.1299973,43.65000153,110.3799973,110.2099991,25.64999962,300.2399902,19.14666748,44.68999863,39.38000107,39.13000107
2010/2/3,138.7100067,40.11999893,108.6999969,43.88999939,109.8300018,110.1999969,25.34000015,301.2000122,19.20999908,44.20000076,39.04999924,38.61000061
2010/2/4,137.1600037,39.36000061,104.3700027,42.61999893,106.4400024,110.1999969,25.17000008,286.3999939,18.32666588,41.84000015,37.38999939,36.31999969
2010/2/5,136.3999939,39.27999878,104.6800003,42.97999954,106.6600037,110.1800003,24.87999916,281.6799927,18.30666733,41.86999893,37.47000122,35.68999863
2010/2/8,136.3699951,39,104.0400009,42.66999817,105.8899994,110.2200012,25.21999931,280.7200012,18.15999985,41.45000076,37.27000046,35.36999893
2010/2/9,137.5200043,39.24000168,105.4100037,43.11000061,107.2200012,110.2200012,25.26000023,289.6799927,18.38333321,42.97999954,38.41999817,36.83000183
2010/2/10,137.0599976,39.24000168,105.1200027,43.02000046,107.0100021,110.2099991,25.46999931,292.0799866,18.33333397,42.75,38.16999817,36.52999878
2010/2/11,136.5899963,39.43999863,107.1299973,43.66999817,108.1299973,110.2200012,25.52000046,294.2399902,18.63666725,44.02000046,39.24000168,36.38000107
2010/2/12,135.8699951,39.20000076,107.0400009,43.75999832,108.0400009,110.2200012,25.40999985,290.480011,18.89666748,43.75,38.81000137,36.04000092
2010/2/16,137.4100037,39.59999847,109.6200027,44.31999969,109.7399979,110.1900024,25.89999962,302.3200073,18.96333313,44.90000153,39.90999985,37.15999985
2010/2/17,135.8200073,39.59999847,109.25,44.56999969,110.2600021,110.2099991,25.5,303.7600098,19.30333328,45.13999939,40.33000183,37.06999969
2010/2/18,135.8600006,39.68000031,109.9800034,44.84999847,110.9100037,110.2200012,25.61000061,309.8399963,19.05666733,45.45000076,40.54000092,37.38999939
2010/2/19,135.6499939,39.04000092,109.4700012,44.83000183,111.1399994,110.1999969,25.76000023,312.7200012,19.06666756,45.52000046,40.22000122,37.27999878
2010/2/22,135.6999969,39.52000046,109.0699997,44.74000168,111.1600037,110.2099991,25.52000046,312.2399902,18.93333244,45.24000168,40.5,37.16999817
2010/2/23,134.75,39.36000061,107.8899994,44.15999985,109.8099976,110.2099991,25.12999916,306.6400146,18.5933342,44.02000046,39.77000046,36.25999832
2010/2/24,135.0500031,39.43999863,107.3600006,44.61000061,110.8199997,110.1999969,25.40999985,311.9200134,18.67000008,44.02999878,40.27999878,36.54999924
2010/2/25,135.2700043,39.52000046,108.3099976,44.59999847,110.6699982,110.2300034,25.19000053,304.8800049,18.63666725,44.31000137,39.49000168,36.15999985
2010/2/26,135.8500061,39.75999832,109.4300003,44.75999832,110.7399979,110.2200012,25.39999962,310.5599976,18.77000046,44.95000076,40.09000015,36.61000061
2010/3/1,135.3200073,40.15999985,109.4300003,45.40999985,111.8899994,110.2099991,25.09000015,306.7999878,19.75666618,45.41999817,40.95000076,37.22999954
2010/3/2,135.8200073,40.27999878,111.0199966,45.54999924,112.1999969,110.1600037,25.09000015,310.3999939,19.9066658,46.11999893,41.06999969,37.31000137
2010/3/3,136.6499939,40.56000137,111.6299973,45.59999847,112.3000031,110.1900024,25.11000061,315.2000122,19.45999908,46.27000046,41.40000153,37.79999924
2010/3/4,135.6399994,40.15999985,110.8300018,45.75,112.6399994,110.1999969,24.95000076,313.2000122,19.32999992,46.06000137,41.29999924,37.68000031
2010/3/5,135.9100037,40.56000137,110.8099976,46.43999863,114.25,110.1900024,24.97999954,318.7999878,19.68000031,47.11000061,42.22999954,38.68999863
2010/3/8,136,40.84000015,109.8799973,46.52999878,114.2699966,110.2099991,24.89999962,318.3200073,19.7266674,46.88000107,42.16999817,38.79000092
2010/3/9,135.7100067,40.68000031,109.7200012,46.79000092,114.4599991,110.1999969,24.61000061,316.3999939,19.88333321,47.41999817,42.52000046,38.54000092
2010/3/10,136.2200012,40.40000153,108.4700012,47.16999817,114.9700012,110.1900024,24.52000046,319.2000122,20.11666679,47.77000046,42.61000061,38.99000168
2010/3/11,136.4799957,40.79999924,108.5999985,47.34999847,115.4499969,110.1800003,24.44000053,320.3999939,20.29999924,47.81000137,42.52000046,39.04000092
2010/3/12,137.3000031,41.20000076,107.9499969,47.36000061,115.4599991,110.1999969,24.57999992,316.0799866,20.14666748,47.70999908,42.38999939,39.16999817
2010/3/15,136.4400024,41,108.3600006,47.24000168,115.4899979,110.1999969,24.45000076,310.6400146,20.43000031,47.59000015,42.15999985,38.88000107
2010/3/16,137.4700012,41.40000153,110.4000015,47.54000092,116.4100037,110.1699982,24.51000023,318.3200073,20.49666595,48.22000122,42.84000015,39.45000076
2010/3/17,137.1100006,41.56000137,109.5899963,47.66999817,117.0999985,110.1999969,24.71999931,321.8399963,20.41666603,48.11999893,43.22000122,39.63000107
2010/3/18,135.8000031,41.27999878,110.3399963,47.83000183,117.0400009,110.1999969,24.90999985,319.3599854,20.36000061,47.56000137,43.06000137,39.24000168
2010/3/19,135.0599976,41.20000076,108.2799988,47.49000168,115.9700012,110.1999969,24.79000092,313.6000061,20.25666618,46.84000015,42.70000076,38.59999847
2010/3/22,135.2100067,41.40000153,107.75,47.91999817,116.5899963,110.1999969,24.70000076,316.480011,20.38666725,47.09999847,42.79000092,38.65000153
2010/3/23,134.6699982,41.79999924,108.3199997,48.25,117.4100037,110.2099991,24.37999916,317.6000061,20.68333244,47.70999908,43.40000153,38.81000137
2010/3/24,132.9400024,41.11999893,106.3000031,48.02000046,116.8399963,110.1900024,24.37999916,311.519989,20.45999908,47,42.66999817,38.15000153
2010/3/25,132.5200043,40.88000107,106.7799988,47.95000076,116.6500015,110.1900024,24.10000038,311.2000122,20.28666687,46.54000092,42.59999847,38.29000092
2010/3/26,133.8000031,41.52000046,108.5899963,48,116.5800018,110.1800003,24.04000092,310.6400146,20.12666702,46.56000137,42.84000015,38.72999954
2010/3/29,134.4600067,42.04000092,108.75,48.22999954,117.3199997,110.1800003,24.45000076,319.6799927,20.22333336,47.75,43.38000107,39.09000015
2010/3/30,133.8300018,42.27999878,107.9700012,48.38999939,117.4000015,110.2099991,24.61000061,319.6000061,20.11333275,47.97999954,43.5,38.88999939
2010/3/31,134.7299957,41.75999832,108.9499969,48.15999985,117,110.1999969,24.21999931,322.3200073,19.98333359,48.27000046,42.95999908,38.90000153
2010/4/1,135.5099945,42.40000153,110.2600021,48.15999985,117.8000031,110.1600037,24.40999985,329.9200134,20.14999962,49.15000153,43.79999924,39.84000015
2010/4/5,134.4799957,42.27999878,110.8899994,48.61000061,118.7600021,110.1500015,24.51000023,336.5599976,20.36333275,49.63999939,44.15999985,39.83000183
2010/4/6,133.7299957,42.40000153,111.0299988,48.75,119.0400009,110.1699982,24.45999908,336.1600037,20.35333252,49.77000046,44.36000061,39.47999954
2010/4/7,133.2200012,42.40000153,112.4899979,48.63000107,118.3600006,110.1600037,24.54000092,332.1600037,20.25,49.22999954,44.06000137,38.90999985
2010/4/8,133.1600037,42.43999863,112.6500015,48.74000168,118.7699966,110.1600037,24.35000038,331.519989,20.38333321,49.43999863,44.06999969,38.77000046
2010/4/9,134.5800018,42.56000137,113.6399994,49.02999878,119.5500031,110.1699982,24.36000061,329.3599854,20.3433342,49.77999878,44.45000076,39.66999817
2010/4/12,135.4799957,42.47999954,113.0100021,49.06999969,119.7399979,110.1800003,24.46999931,327.4400024,20.30333328,49.45999908,44.27999878,40.16999817
