Date,FXE,EWJ,GLD
2007-05-15,136.0,57.52000045776367,66.54000091552734
2007-05-16,135.44000244140625,57.63999938964844,65.5999984741211
2007-05-17,135.10000610351562,57.15999984741211,65.05999755859375
2007-05-18,135.3800048828125,57.0,65.5199966430664
2007-05-21,134.94000244140625,57.0,65.66999816894531
2007-05-22,134.69000244140625,57.560001373291016,65.19999694824219
2007-05-23,134.92999267578125,57.63999938964844,65.54000091552734
2007-05-24,134.5500030517578,57.36000061035156,64.75
2007-05-25,134.75,57.119998931884766,64.94000244140625
2007-05-29,134.77000427246094,57.720001220703125,65.06999969482422
2007-05-30,134.69000244140625,57.84000015258789,64.72000122070312
2007-05-31,134.86000061035156,58.400001525878906,65.54000091552734
2007-06-01,134.3000030517578,58.720001220703125,66.44000244140625
2007-06-04,134.9199981689453,58.91999816894531,66.54000091552734
2007-06-05,135.25999450683594,58.84000015258789,66.37000274658203
2007-06-06,135.05999755859375,58.599998474121094,66.41000366210938
2007-06-07,134.2899932861328,58.36000061035156,65.26000213623047
2007-06-08,133.7100067138672,58.63999938964844,64.22000122070312
2007-06-11,133.64999389648438,58.560001373291016,64.69999694824219
2007-06-12,133.14999389648438,57.79999923706055,64.0999984741211
2007-06-13,133.36000061035156,57.959999084472656,64.52999877929688
2007-06-14,133.2899932861328,58.040000915527344,64.5999984741211
2007-06-15,133.99000549316406,58.560001373291016,64.8499984741211
2007-06-18,134.25999450683594,58.439998626708984,64.94999694824219
2007-06-19,134.42999267578125,58.400001525878906,65.4800033569336
2007-06-20,134.3000030517578,58.0,64.70999908447266
2007-06-21,134.13999938964844,58.279998779296875,64.55999755859375
2007-06-22,134.9199981689453,57.720001220703125,64.77999877929688
2007-06-25,134.9600067138672,57.400001525878906,64.43000030517578
2007-06-26,134.8699951171875,57.47999954223633,63.619998931884766
2007-06-27,134.80999755859375,57.599998474121094,63.66999816894531
2007-06-28,134.8000030517578,57.47999954223633,64.26000213623047
2007-06-29,135.7100067138672,58.040000915527344,64.2699966430664
2007-07-02,136.30999755859375,59.08000183105469,65.0199966430664
2007-07-03,136.25,58.959999084472656,64.73999786376953
2007-07-05,136.1300048828125,58.79999923706055,64.41999816894531
2007-07-06,136.39999389648438,58.52000045776367,64.95999908447266
2007-07-09,136.2899932861328,58.52000045776367,65.37999725341797
2007-07-10,137.4499969482422,58.63999938964844,65.61000061035156
2007-07-11,137.67999267578125,58.439998626708984,65.44000244140625
