Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF
2009-11-25,151.25999450683594,37.79999923706055,116.62000274658203,44.18000030517578,111.37999725341797,110.23999786376953,26.350000381469727,316.0,16.9233341217041,48.68000030517578
2009-11-27,149.38999938964844,37.47999954223633,115.05999755859375,43.5099983215332,109.56999969482422,110.2300033569336,26.3799991607666,308.0,16.68666648864746,48.619998931884766
2009-11-30,149.9199981689453,38.2400016784668,115.63999938964844,43.560001373291016,109.94000244140625,110.22000122070312,26.489999771118164,313.20001220703125,16.72333335876465,47.869998931884766
2009-12-01,150.66000366210938,39.560001373291016,117.37999725341797,44.0099983215332,111.30000305175781,110.20999908447266,26.610000610351562,316.9599914550781,17.003334045410156,49.06999969482422
2009-12-02,150.27999877929688,39.400001525878906,119.18000030517578,44.06999969482422,111.25,110.19000244140625,26.489999771118164,310.7200012207031,17.113332748413086,49.5
2009-12-03,150.52000427246094,39.959999084472656,118.69999694824219,43.88999938964844,110.37999725341797,110.19000244140625,26.440000534057617,308.1600036621094,16.969999313354492,49.060001373291016
2009-12-04,148.24000549316406,39.959999084472656,113.75,44.119998931884766,111.01000213623047,110.19999694824219,26.149999618530273,306.6400146484375,17.06333351135254,48.75
2009-12-07,147.89999389648438,39.63999938964844,113.11000061035156,43.90999984741211,110.83999633789062,110.16999816894531,26.15999984741211,299.9200134277344,17.02666664123535,48.58000183105469
2009-12-08,146.8000030517578,39.7599983215332,110.94999694824219,43.63999938964844,109.61000061035156,110.19000244140625,26.030000686645508,294.79998779296875,16.860000610351562,47.88999938964844
2009-12-09,147.0800018310547,39.880001068115234,110.83999633789062,44.08000183105469,110.0199966430664,110.19999694824219,25.84000015258789,286.9599914550781,16.81333351135254,48.0
2009-12-10,147.0800018310547,39.560001373291016,110.81999969482422,44.29999923706055,110.63999938964844,110.16999816894531,26.06999969482422,285.8399963378906,16.78333282470703,48.380001068115234
2009-12-11,146.0500030517578,39.79999923706055,109.31999969482422,44.130001068115234,111.11000061035156,110.16999816894531,26.260000228881836,283.8399963378906,16.8266658782959,48.63999938964844
2009-12-14,146.3000030517578,39.84000015258789,110.23999786376953,44.54999923706055,111.87000274658203,110.16999816894531,26.610000610351562,284.6400146484375,17.053333282470703,48.97999954223633
2009-12-15,145.1300048828125,39.52000045776367,110.20999908447266,44.29999923706055,111.3499984741211,110.19000244140625,26.43000030517578,287.44000244140625,17.030000686645508,48.459999084472656
2009-12-16,145.10000610351562,40.119998931884766,111.58999633789062,44.36000061035156,111.5199966430664,110.19000244140625,26.700000762939453,293.9200134277344,17.059999465942383,48.52000045776367
2009-12-17,143.1999969482422,39.560001373291016,107.33999633789062,43.81999969482422,110.18000030517578,110.16999816894531,26.399999618530273,290.8800048828125,16.85333251953125,46.779998779296875
2009-12-18,143.1199951171875,39.47999954223633,108.94999694824219,44.459999084472656,110.20999908447266,110.18000030517578,26.25,293.2799987792969,17.126667022705078,46.5
2009-12-21,142.6199951171875,39.36000061035156,106.94999694824219,44.959999084472656,111.33000183105469,110.19999694824219,26.020000457763672,289.2799987792969,17.47333335876465,45.95000076293945
2009-12-22,142.2899932861328,39.31999969482422,106.16999816894531,45.22999954223633,111.7300033569336,110.19999694824219,26.100000381469727,292.4800109863281,17.829999923706055,46.529998779296875
