Date,FXE,EWJ
2007-06-29,135.7100067138672,58.040000915527344
2007-07-02,136.30999755859375,59.08000183105469
2007-07-03,136.25,58.959999084472656
2007-07-05,136.1300048828125,58.79999923706055
2007-07-06,136.39999389648438,58.52000045776367
2007-07-09,136.2899932861328,58.52000045776367
2007-07-10,137.4499969482422,58.63999938964844
2007-07-11,137.67999267578125,58.439998626708984
2007-07-12,138.02000427246094,58.84000015258789
2007-07-13,138.0800018310547,59.119998931884766
2007-07-16,138.0,59.0
2007-07-17,138.0,58.68000030517578
2007-07-18,138.1999969482422,58.400001525878906
2007-07-19,138.17999267578125,58.68000030517578
2007-07-20,138.50999450683594,58.439998626708984
2007-07-23,138.27999877929688,58.79999923706055
2007-07-24,138.47999572753906,58.599998474121094
2007-07-25,137.49000549316406,58.63999938964844
