position,name,age,country,gender,wealthSource,industry,worth
1644,Wong Hong King,56,China,M,real estate,Real Estate,1500
1645,Ian Wood,75,United Kingdom,M,energy services,Energy,1500
1646,Xiao Chunhong,50,China,M,real estate,Real Estate,1500
1647,Jacky Xu,46,St. Kitts and Nevis,M,apparel,Fashion & Retail,1500
1648,Zhang Hongwei,63,China,M,"oil, banking",Diversified,1500
1649,Zhang Tao,45,China,M,e-commerce,Fashion & Retail,1500
1650,Anu Aga,75,India,F,engineering,Construction & Engineering,1400
1651,Farkhad Akhmedov,62,Russia,M,investments,Energy,1400
1652,Alberto Alcocer,75,Spain,M,investments,Finance and Investments,1400
1653,Bassam Alghanim,66,Kuwait,M,diversified,Diversified,1400
1654,Kutayba Alghanim,72,Kuwait,M,diversified,Diversified,1400
1655,Alexandra Andresen,21,Norway,F,investments,Diversified,1400
1656,Katharina Andresen,23,Norway,F,investments,Diversified,1400
1657,Vasily Anisimov,66,Russia,M,real estate,Metals & Mining,1400
1658,Mori Arkin,65,Israel,M,pharmaceuticals,Healthcare,1400
1659,Nigel Austin,47,Australia,M,retailing,Fashion & Retail,1400
1660,Krishna Kumar Bangur,57,India,M,graphite electrodes,Manufacturing,1400
1661,Herb Chambers,76,United States,M,car dealerships,Automotive,1400
1662,R.G. Chandramogan,69,India,M,dairy,Food and Beverage,1400
1663,Chang Pyung-Soon,67,South Korea,M,educational services,Service,1400
1664,Chao Teng-hsiung,74,Taiwan,M,real estate,Real Estate,1400
1665,Chen Liying,42,China,F,package delivery,Logistics,1400
1666,Chen Tianqiao,45,China,M,online games,Technology,1400
1667,Henry Cheng,71,Hong Kong,M,property,Diversified,1400
1668,Chey Ki-Won,53,South Korea,F,"computer services, telecom",Technology,1400
1669,Chi Yufeng,47,China,M,software,Technology,1400
1670,Chua Thian Poh,69,Singapore,M,real estate,Real Estate,1400
1671,Chung Yong-Jin,49,South Korea,M,retail,Fashion & Retail,1400
1672,Ciputra,86,Indonesia,M,real estate,Real Estate,1400
1673,Alberto Cortina,72,Spain,M,investments,Finance and Investments,1400
1674,"Robert Coyiuto, Jr.",65,Philippines,M,power,Energy,1400
1675,Maria Del Pino y Calvo-Sotelo,62,Spain,F,construction,Construction & Engineering,1400
1676,K. Dinesh,64,India,M,software services,Technology,1400
1677,Du Weimin,54,China,M,vaccines,Healthcare,1400
1678,John Edson,86,United States,M,leisure craft,Manufacturing,1400
1679,David Einhorn,49,United States,M,hedge funds,Finance and Investments,1400
1680,Bob Ell,73,Australia,M,real estate,Construction & Engineering,1400
1681,Gary Fegel,44,Switzerland,M,"commodities, investments",Metals & Mining,1400
1682,Victor Fung,72,United States,M,trading company,Logistics,1400
1683,William Fung,69,Hong Kong,M,sourcing,Fashion & Retail,1400
1684,Alan Gerry,89,United States,M,cable television,Media & Entertainment,1400
1685,Balkrishan Goenka,51,India,M,textiles,Manufacturing,1400
1686,Polys Haji-Ioannou,58,Cyprus,M,EasyJet,Service,1400
1687,Mehmet Hattat,72,Turkey,M,diversified,Diversified,1400
1688,J. Tomilson Hill,70,United States,M,investments,Finance and Investments,1400
1689,Eduardo Hochschild,54,Peru,M,mining,Metals & Mining,1400
1690,Hoi Kin Hong,65,Macau,M,real estate,Real Estate,1400
1691,Hur Young-In,69,South Korea,M,"bakeries, fast food",Food and Beverage,1400
1692,George Joseph,96,United States,M,insurance,Finance and Investments,1400
1693,Ronald Joyce,87,Canada,M,coffee chain,Food and Beverage,1400
1694,T.S. Kalyanaraman,71,India,M,jewelry,Fashion & Retail,1400
1695,Nimesh Kampani,71,India,M,investment banking,Finance and Investments,1400
1696,Eugene Kaspersky,52,Russia,M,software,Technology,1400
1697,Viktor Kharitonin,45,Russia,M,pharmaceuticals,Healthcare,1400
1698,Pyotr Kondrashev,68,Russia,M,investments,Manufacturing,1400
1699,Yuri Kovalchuk,66,Russia,M,"banking, insurance, media",Finance and Investments,1400
1700,Kagemasa Kozuki,77,Japan,M,video games,Technology,1400
1701,Michael Krasny,64,United States,M,retail,Technology,1400
1702,James Leininger,73,United States,M,medical products,Healthcare,1400
1703,Li Guoqiang,54,China,M,auto dealerships,Automotive,1400
1704,Li Liangbin,50,China,M,lithium,Manufacturing,1400
1705,Liu Ko-chen,64,Taiwan,M,Manufacturing,Technology,1400
1706,Anatoly Lomakin,65,Russia,M,investments,Metals & Mining,1400
1707,Ma Hong,50,China,M,fashion retail,Fashion & Retail,1400
1708,Gary Magness,64,United States,M,"cable TV, investments",Media & Entertainment,1400
1709,Youssef Mansour,73,Egypt,M,diversified,Diversified,1400
1710,Strive Masiyiwa,57,Zimbabwe,M,telecom,Telecom,1400
1711,Dariusz Milek,50,Poland,M,"real estate, retail",Fashion & Retail,1400
1712,Nan Cunhui,54,China,M,power equipment,Manufacturing,1400
1713,Dinesh Nandwana,55,India,M,software services,Technology,1400
1714,Oei Hong Leong,70,Singapore,M,investments,Finance and Investments,1400
1715,Rubens Ometto Silveira Mello,68,Brazil,M,"sugar, ethanol",Energy,1400
1716,Ou Xueming,69,China,M,real estate,Real Estate,1400
1717,Markus Persson,39,Sweden,M,computer games,Media & Entertainment,1400
1718,Victor Pinchuk,57,Ukraine,M,"steel pipes, diversified",Metals & Mining,1400
1721,Forrest Preston,85,United States,M,health care,Healthcare,1400
1722,Jerry Reinsdorf,82,United States,M,sports teams,Sports,1400
1723,Fernando Roig,70,Spain,M,supermarkets,Fashion & Retail,1400
1724,Subhash Runwal,75,India,M,real estate,Real Estate,1400
1725,Yoshiyuki Sankai,59,Japan,M,robotics,Technology,1400
1726,Kirill Shamalov,36,Russia,M,petrochemicals,Energy,1400
1727,Shin Dong-Bin,63,South Korea,M,retail,Fashion & Retail,1400
1728,Evgeny (Eugene) Shvidler,54,United States,M,"oil & gas, investments",Energy,1400
1729,Jasminder Singh,67,United Kingdom,M,hotels,Real Estate,1400
1730,Martua Sitorus,58,Indonesia,M,palm oil,Manufacturing,1400
1731,Peter Sperling,58,United States,M,education,Service,1400
1732,Jerzy Starak,70,Poland,M,pharmaceuticals,Healthcare,1400
1733,Manny Stul,69,Australia,M,toys,Manufacturing,1400
1734,Su Rubo,63,China,M,real estate,Real Estate,1400
1735,Fuat Tosyali,55,Turkey,M,steel,Metals & Mining,1400
1736,Kenny Troutt,70,United States,M,telecom,Telecom,1400
1737,Rufino Vigil Gonzalez,70,Mexico,M,steel,Metals & Mining,1400
1738,Wang Jianfeng,48,China,M,auto parts,Automotive,1400
1739,Wang Jing,45,China,M,telecom services,Telecom,1400
1740,Wang Qunbin,48,China,M,conglomerate,Diversified,1400
1741,Dan Wilks,62,United States,M,natural gas,Energy,1400
1742,Farris Wilks,66,United States,M,natural gas,Energy,1400
1743,Thomas Wu,68,Taiwan,M,finance,Finance and Investments,1400
1744,Yi Zheng,47,China,M,software,Technology,1400
1745,Yuan Fugen,67,China,M,metal processing,Manufacturing,1400
1746,"Richard Yuengling, Jr.",75,United States,M,beer,Food and Beverage,1400
1747,Gavril Yushvaev,60,Russia,M,"precious metals, real estate",Finance and Investments,1400
1748,Zeng Kaitian,43,China,M,online games,Technology,1400
1749,Zhang Wanzhen,68,China,M,electronic components,Manufacturing,1400
1750,Zhang Yubai,53,China,M,wine,Food and Beverage,1400
1752,Zhou Yifeng,49,China,M,chemicals,Manufacturing,1400
1753,Zhou Yongli,63,China,M,conglomerate,Manufacturing,1400
1754,Zhu Wenchen,52,China,M,pharmaceuticals,Healthcare,1400
1755,Ahmet Nazif Zorlu,73,Turkey,M,diversified,Diversified,1400
1756,Len Ainsworth,94,Australia,M,betting machines,Gambling & Casinos,1300
1757,Edmund Ansin,82,United States,M,television,Media & Entertainment,1300
1758,Markus Blocher,47,Switzerland,M,chemicals,Manufacturing,1300
1759,Leonid Boguslavsky,67,Russia,M,venture capital,Finance and Investments,1300
1760,Jorge Horacio Brito,65,Argentina,M,banking,Finance and Investments,1300
1761,Saket Burman,41,United Kingdom,M,consumer goods,Food and Beverage,1300
1762,Steve Case,59,United States,M,AOL,Technology,1300
1763,Jeffrey Cheah,73,Malaysia,M,property,Real Estate,1300
1764,Bruce Cheng,82,Taiwan,M,electronics,Technology,1300
1765,Cheng Xianfeng,49,China,M,pharmaceuticals,Healthcare,1300
1766,Ivan Chrenko,50,Slovakia,M,real estate,Real Estate,1300
1767,Eduardo Cojuangco,83,Philippines,M,"food, drinks",Food and Beverage,1300
1768,Brunello Cucinelli,64,Italy,M,fashion,Fashion & Retail,1300
1769,Darwin Deason,78,United States,M,Xerox,Service,1300
1770,Andrea Della Valle,52,Italy,M,shoes,Fashion & Retail,1300
1771,Jamie Dimon,62,United States,M,banking,Finance and Investments,1300
1772,Charles Dunstone,54,United Kingdom,M,mobile phones,Telecom,1300
1773,Bruce Flatt,53,Canada,M,money management,Finance and Investments,1300
1774,Fu Meicheng,60,China,M,"TV shows, movies",Media & Entertainment,1300
1775,Soichiro Fukutake,72,Japan,M,education,Service,1300
1776,Don Gao,53,China,M,power tools,Manufacturing,1300
1777,Gao Yunfeng,51,China,M,industrial lasers,Manufacturing,1300
1778,Anne Gittinger,82,United States,F,Nordstrom department stores,Fashion & Retail,1300
1779,Clelia Haji-Ioannou,47,Cyprus,F,EasyJet,Service,1300
1780,John Hancock,42,Australia,M,trust fund,Metals & Mining,1300
1781,Ronnen Harary,46,Canada,M,toys,Manufacturing,1300
1782,Ayman Hariri,40,Lebanon,M,"construction, investments",Construction & Engineering,1300
1783,Fahd Hariri,37,Lebanon,M,"construction, investments",Construction & Engineering,1300
1784,Surendra Hiranandani,63,Cyprus,M,real estate,Real Estate,1300
1785,Alan Howard,54,United Kingdom,M,hedge funds,Finance and Investments,1300
1786,Hu Keqin,60,China,M,chemicals,Diversified,1300
1788,Irwin Jacobs,84,United States,M,semiconductors,Technology,1300
1789,Mitchell Jacobson,67,United States,M,industrial equipment,Service,1300
1790,Rana Kapoor,60,India,M,banking,Finance and Investments,1300
1791,Alexander Karp,50,United States,M,software firm,Technology,1300
1792,Raghuvinder Kataria,69,United Kingdom,M,diversified,Finance and Investments,1300
1793,Habil Khorakiwala,75,India,M,pharmaceuticals,Healthcare,1300
1794,Sidney Kimmel,90,United States,M,retail,Fashion & Retail,1300
1795,Andre Koo,51,Taiwan,M,financial services,Finance and Investments,1300
1796,Koo Bon-Neung,69,South Korea,M,electronics,Manufacturing,1300
1797,Andrei Kosogov,57,Russia,M,"oil, banking, telecom",Energy,1300
1798,Lee Ho-Jin,55,South Korea,M,diversified,Diversified,1300
1799,Solomon Lew,73,Australia,M,retail,Fashion & Retail,1300
1800,Rodney Lewis,63,United States,M,natural gas,Energy,1300
1801,Li Jiaquan,54,China,M,chemicals,Manufacturing,1300
1802,Lin Fanlian,57,China,M,gas,Energy,1300
1803,Lin Jianhua,55,China,M,solar panel components,Manufacturing,1300
1804,Lin Tianfu,55,Hong Kong,M,"footwear, apparel",Fashion & Retail,1300
1805,Louise Lindh,38,Sweden,F,investments,Diversified,1300
1806,Liu Baolin,65,China,M,pharmacies,Fashion & Retail,1300
1807,Jose Llado Fernandez-Urrutia,84,Spain,M,construction,Construction & Engineering,1300
1809,"Cargill MacMillan, III.",58,United States,M,Cargill,Food and Beverage,1300
1810,John MacMillan,68,United States,M,Cargill,Food and Beverage,1300
1811,Martha MacMillan,66,United States,F,Cargill,Food and Beverage,1300
1812,William MacMillan,64,United States,M,Cargill,Food and Beverage,1300
1813,Katarina Martinson,37,Sweden,F,investments,Diversified,1300
1814,Craig Newmark,65,United States,M,Craigslist,Technology,1300
1815,Bruce Nordstrom,84,United States,M,Nordstrom department stores,Fashion & Retail,1300
1816,Pierre Karl Péladeau,56,Canada,M,media,Media & Entertainment,1300
1817,David Penaloza Alanis,44,Mexico,M,toll roads,Construction & Engineering,1300
1818,Andreas Pohl,53,Germany,M,mutual funds,Finance and Investments,1300
1819,"Reinfried Pohl, Jr.",58,Germany,M,mutual funds,Finance and Investments,1300
1820,Mahendra Prasad,78,India,M,pharmaceuticals,Healthcare,1300
1821,Anton Rabie,46,Canada,M,toys,Manufacturing,1300
1822,Bianca Rinehart,41,Australia,F,trust fund,Metals & Mining,1300
1823,Ginia Rinehart,31,Australia,F,trust fund,Metals & Mining,1300
1824,Alexander Rovt,65,United States,M,"fertilizer, real estate",Manufacturing,1300
1825,Lily Safra,80,Monaco,F,banking,Finance and Investments,1300
1826,Deniz Sahenk,72,Turkey,F,diversified,Diversified,1300
1828,Leonard Schleifer,65,United States,M,pharmaceuticals,Healthcare,1300
1829,Dieter Schnabel,72,Germany,M,chemicals,Manufacturing,1300
1830,Bhadresh Shah,66,India,M,engineering,Manufacturing,1300
1831,Shao Qinxiang,63,China,M,diversified,Manufacturing,1300
1832,Eric Ya Shen,47,China,M,online apparel retail,Technology,1300
1833,Nobutoshi Shimamura,92,Japan,M,retail,Fashion & Retail,1300
1834,Shum Chiu Hung,48,China,M,real estate,Real Estate,1300
1835,Helmut Sohmen,78,Austria,M,shipping,Logistics,1300
1836,Sun Qinghuan,45,China,M,lighting,Technology,1300
1837,Sun Yinhuan,68,China,M,real estate,Real Estate,1300
1838,Djoko Susanto,68,Indonesia,M,supermarkets,Fashion & Retail,1300
1839,Erol Tabanca,61,Turkey,M,Construction,Construction & Engineering,1300
1840,Alexander Tedja,72,Indonesia,M,real estate,Real Estate,1300
1841,Wilma Tisch,90,United States,F,diversified,Finance and Investments,1300
1842,Ayhan Tosyali,54,Turkey,M,steel,Metals & Mining,1300
1843,Fatih Tosyali,52,Turkey,M,steel,Metals & Mining,1300
1844,Tran Dinh Long,57,Vietnam,M,"steel, heavy industry",Manufacturing,1300
1845,Tsai Ming-Kai,68,Taiwan,M,semiconductors,Technology,1300
1846,Pavel Tykac,54,Czech Republic,M,coal mines,Metals & Mining,1300
1847,Jayshree Ullal,57,United States,F,technology,Technology,1300
1848,Wan Long,77,China,M,food,Food and Beverage,1300
1849,Wang Muqing,67,China,M,auto distribution,Automotive,1300
1850,Wang Yong,68,China,M,food sweeteners,Food and Beverage,1300
1851,Hope Welker,32,Australia,F,trust fund,Metals & Mining,1300
1852,Wen Yibo,52,China,M,wastewater treatment,Service,1300
1853,Stephen T. Winn,71,United States,M,real estate services,Real Estate,1300
1854,Gordon Wu,83,Hong Kong,M,real estate,Real Estate,1300
1855,Wu Lanlan,44,China,F,packaging,Manufacturing,1300
1856,Xu Ziquan,59,China,M,software,Technology,1300
1858,Yang Tingdong,58,China,M,brewery,Food and Beverage,1300
1859,You Xiaoping,60,China,M,"chemicals, spandex",Manufacturing,1300
1860,Yu Peidi,58,Hong Kong,M,real estate,Real Estate,1300
1861,Yu Qibing,52,China,M,glass,Manufacturing,1300
1862,Yu Yunxin,56,China,M,costume jewelry,Fashion & Retail,1300
1863,Zan Shengda,55,China,M,diversified,Diversified,1300
1864,Zhang Guiping,66,China,M,real estate,Real Estate,1300
1865,Zhao Weiguo,51,China,M,IT products,Technology,1300
1866,Zheng Jianjiang,57,China,M,electrical equipment,Manufacturing,1300
1867,Hamad bin Jassim bin Jaber Al Thani,58,Qatar,M,investments,Finance and Investments,1200
1870,Isak Andic,64,Spain,M,fashion retail,Fashion & Retail,1200
1871,Marc Andreessen,46,United States,M,venture capital investing,Finance and Investments,1200
1872,Jose Maria Aristrain,55,Spain,M,Steel,Metals & Mining,1200
1873,Thomas Bailey,81,United States,M,money management,Finance and Investments,1200
1874,Harindarpal Banga,67,India,M,commodities,Finance and Investments,1200
1875,Elena Baturina,55,Russia,F,"investments, real estate",Construction & Engineering,1200
1876,Eduardo Belmont Anderson,72,Peru,M,cosmetics,Fashion & Retail,1200
1877,Tomasz Biernacki,45,Poland,M,supermarkets,Fashion & Retail,1200
1878,Zadik Bino,74,Israel,M,"banking, oil",Diversified,1200
1879,Brett Blundy,58,Australia,M,"retail, agribusiness",Fashion & Retail,1200
1880,Henadiy Boholyubov,56,Ukraine,M,"banking, investments",Diversified,1200
1881,Charles Brandes,75,United States,M,money management,Finance and Investments,1200
1882,Amit Burman,48,India,M,consumer goods,Food and Beverage,1200
1883,Cai Dongqing,49,China,M,animation,Media & Entertainment,1200
1884,Chen Bo,47,China,M,wind power generation,Energy,1200
1885,Cheng Wei,35,China,M,ride-hailing service,Service,1200
1886,Phongthep Chiaravanont,66,Thailand,M,diversified,Diversified,1200
1887,Kochouseph Chittilappilly,67,India,M,manufacturing,Manufacturing,1200
1888,Chu Jinfu,61,China,M,electrical equipment,Manufacturing,1200
1889,Eduardo Costantini,71,Argentina,M,real estate,Real Estate,1200
1890,Sol Daurella,52,Spain,F,Coca-Cola,Food and Beverage,1200
1891,Philip Day,52,United Kingdom,M,clothing retail,Fashion & Retail,1200
1892,D. Leopoldo Del Pino y Calvo-Sotelo,55,Spain,M,construction,Construction & Engineering,1200
1893,Norbert Dentressangle,63,France,M,"transport, logistics",Logistics,1200
1894,Beda Diethelm,77,Switzerland,M,hearing aids,Healthcare,1200
1895,Mark Dixon,59,United Kingdom,M,office real estate,Real Estate,1200
1896,Henry Engelhardt,60,United States,M,insurance,Finance and Investments,1200
1897,Fang Hongbo,51,China,M,home appliances,Manufacturing,1200
1898,Gleb Fetisov,52,Russia,M,investments,Telecom,1200
1899,Donald Foss,74,United States,M,auto loans,Automotive,1200
1900,Robert Friedland,67,United States,M,mining,Metals & Mining,1200
1901,Donald Friese,77,United States,M,manufacturing,Manufacturing,1200
1902,Fu Guangming,64,China,M,poultry,Food and Beverage,1200
1903,Dan Gertler,44,Israel,M,mining,Metals & Mining,1200
1904,Dennis Gillings,74,United Kingdom,M,drug testing,Healthcare,1200
1905,Ryan Graves,34,United States,M,uber,Technology,1200
1906,Gu Wei,53,China,M,consumer electronics,Manufacturing,1200
1907,Alfredo Harp Helu,74,Mexico,M,banking,Finance and Investments,1200
1908,Gudrun Heine,63,Germany,F,medical devices,Healthcare,1200
1909,Francis Holder,77,France,M,bakeries,Food and Beverage,1200
1910,Hong Seok-Joh,65,South Korea,M,convenience stores,Fashion & Retail,1200
1911,Douglas Hsu,75,Taiwan,M,diversified,Diversified,1200
1912,Huang Jianrong,60,China,M,minerals,Metals & Mining,1200
1913,"B. Wayne Hughes, Jr.",57,United States,M,storage facilities,Real Estate,1200
1914,Daisy Igel,90,Brazil,F,"gas, petrochemicals",Energy,1200
1915,Thomas James,76,United States,M,finance,Finance and Investments,1200
1916,Jiang Ganjun,54,China,M,home & office products,Manufacturing,1200
1917,Jiang Zhaobai,54,China,M,real estate,Real Estate,1200
1918,Jin Huiming,65,China,M,real estate,Real Estate,1200
1919,Ajay Kalsi,57,India,M,oil & gas,Energy,1200
1920,Helga Kellerhals,78,Germany,F,electronics retailer,Fashion & Retail,1200
1921,King Pak Fu,48,Hong Kong,M,real estate,Real Estate,1200
1922,Sergei Kolesnikov,46,Russia,M,building materials,Manufacturing,1200
1923,Hemendra Kothari,71,India,M,Financial Services,Finance and Investments,1200
1924,Eiichi Kuriwada,71,Japan,M,package delivery,Logistics,1200
1925,Guy Laliberté,58,Canada,M,Cirque du Soleil,Media & Entertainment,1200
1926,Lee Hae-Jin,51,South Korea,M,Internet,Technology,1200
1927,Michael Lee-Chin,67,Canada,M,mutual funds,Finance and Investments,1200
1928,Li Guangyu,54,China,M,education,Service,1200
1929,Li Jun,53,China,M,electronics,Manufacturing,1200
1930,Li Rucheng,67,China,M,apparel,Fashion & Retail,1200
1931,Li Xuhui,50,China,F,soy sauce maker,Food and Beverage,1200
1932,Lim Wee Chai,60,Malaysia,M,rubber gloves,Manufacturing,1200
1933,Liu Jiang,50,China,M,gas,Energy,1200
1934,Liu Xuejing,67,China,M,"copper, poultry",Diversified,1200
1935,Liu Zhenguo,53,China,M,sewage treatment,Service,1200
1936,Lo Ka Shui,71,Hong Kong,M,real estate,Real Estate,1200
1937,Lo Siu-tong,88,Hong Kong,M,"real estate, hotels",Real Estate,1200
1938,Tobi Lutke,37,Canada,M,e-commerce,Technology,1200
1939,Ma Yunsheng,55,China,M,energy,Diversified,1200
1940,Ziyavudin Magomedov,49,Russia,M,"port, gas",Energy,1200
1941,Ana Maria Marcondes Penido Sant'Anna,62,Brazil,F,toll roads,Construction & Engineering,1200
1942,Terence (Terry) Matthews,75,Canada,M,telecom,Telecom,1200
1943,Gail Miller,74,United States,F,"basketball, car dealers",Automotive,1200
1944,Andrei Molchanov,46,Russia,M,construction materials,Construction & Engineering,1200
1945,Ni Zhaoxing,62,China,M,real estate,Real Estate,1200
1946,Kentaro Ogawa,69,Japan,M,restaurants,Food and Beverage,1200
1947,Erik Paulsson,76,Sweden,M,"construction, real estate",Real Estate,1200
1948,Peng Hao,51,China,M,electronics,Manufacturing,1200
1949,Stefan Pierer,61,Austria,M,automotive,Automotive,1200
1950,Michael Price,65,United States,M,investments,Finance and Investments,1200
1951,Clayton Riddell,80,Canada,M,oil & gas,Energy,1200
1952,Boris Rotenberg,61,Russia,M,"construction, pipes, chemicals",Construction & Engineering,1200
1953,Igor Rybakov,46,Russia,M,building materials,Manufacturing,1200
1954,Stephen Saad,54,South Africa,M,pharmaceuticals,Healthcare,1200
1955,K. Rai Sahi,72,Canada,M,real estate,Real Estate,1200
1956,Airat Shaimiev,56,Russia,M,"refinery, chemicals",Energy,1200
1957,Radik Shaimiev,53,Russia,M,"refinery, chemicals",Energy,1200
1958,Shang Jiyong,50,China,M,"tires, chemicals",Diversified,1200
1959,Mikhail Shelkov,50,Russia,M,titanium,Metals & Mining,1200
1960,S.D. Shibulal,63,India,M,software services,Technology,1200
1961,Ron Sim,59,Singapore,M,retail,Fashion & Retail,1200
1962,Leonid Simanovsky,68,Russia,M,investments,Finance and Investments,1200
1963,Basudeo Singh,77,India,M,pharmaceuticals,Healthcare,1200
1964,Samprada Singh,92,India,M,pharmaceuticals,Healthcare,1200
1965,Terry Snow,74,Australia,M,"airports, real estate",Real Estate,1200
1966,Lynsi Snyder,36,United States,F,In-N-Out Burger,Food and Beverage,1200
1967,Sybill Storz,81,Germany,F,medical devices,Healthcare,1200
1968,Harjo Sutanto,92,Indonesia,M,consumer goods,Fashion & Retail,1200
1969,Yoshikazu Tanaka,41,Japan,M,social network,Technology,1200
1970,Mehmet Sinan Tara,60,Turkey,M,construction,Construction & Engineering,1200
1971,Rit Thirakomen,66,Thailand,M,restaurants,Food and Beverage,1200
1972,Tian Ming,64,China,M,measuring instruments,Technology,1200
1973,Ion Tiriac,79,Romania,M,"banking, insurance",Finance and Investments,1200
1974,Ivar Tollefsen,57,Norway,M,Real estate,Real Estate,1200
1975,Mustafa Latif Topbas,74,Turkey,M,"food, retail",Fashion & Retail,1200
1976,Thomas Tull,48,United States,M,movies,Media & Entertainment,1200
1977,John Van Lieshout,72,Australia,M,real estate,Real Estate,1200
1978,Wang Han,30,China,M,airline,Diversified,1200
1979,Wang Junjin,49,China,M,airline,Service,1200
1980,Wang Wenbiao,61,China,M,"natural gas, fertilizers",Manufacturing,1200
1981,"Alfred West, Jr.",75,United States,M,money management,Finance and Investments,1200
1982,Wu Daohong,52,China,M,energy services,Energy,1200
1983,Wu Yiling,68,China,M,pharmaceuticals,Healthcare,1200
1984,Xiu Laigui,63,China,M,pharmaceuticals,Healthcare,1200
1985,Xu Xiong,46,China,M,driving schools,Service,1200
1986,Xu Xudong,48,China,M,auto parts,Automotive,1200
1987,Xue Hua,48,China,M,Agribusiness,Manufacturing,1200
1988,Vadim Yakunin,55,Russia,M,pharmacy,Healthcare,1200
1989,Yan Yude,57,China,M,private schools,Service,1200
1990,Yang Keng,57,China,M,real estate,Real Estate,1200
1991,Yang Shaopeng,60,China,M,Shipping,Logistics,1200
1992,Zhang Cheng Fei,50,China,M,paper & related products,Manufacturing,1200
1993,Zhang Jingzhang,82,China,M,precision machinery,Manufacturing,1200
1994,Zhang Keqiang,58,China,M,real estate,Real Estate,1200
1995,Zhang Xuanning,48,China,M,retail,Fashion & Retail,1200
1996,Zhang Zhangsun,61,China,M,real estate,Real Estate,1200
1997,Zhou Bajin,83,China,M,auto parts,Manufacturing,1200
1998,Zhou Wenyu,53,China,M,real estate,Real Estate,1200
1999,William Ackman,52,United States,M,hedge funds,Finance and Investments,1100
2000,Soegiarto Adikoesoemo,80,Indonesia,M,chemicals,Logistics,1100
2001,Ali Ibrahim Agaoglu,64,Turkey,M,construction,Construction & Engineering,1100
2002,Hamdi Akin,63,Turkey,M,diversified,Diversified,1100
2003,Chirayu Amin,71,India,M,pharmaceuticals,Healthcare,1100
2004,Mehmet Aydinlar,61,Turkey,M,hospitals,Healthcare,1100
2005,Emanuella Barilla,51,Italy,F,Barilla pasta,Food and Beverage,1100
2006,Guido Barilla,59,Italy,M,Barilla pasta,Food and Beverage,1100
2007,Luca Barilla,58,Italy,M,Barilla pasta,Food and Beverage,1100
2008,Paolo Barilla,57,Italy,M,Barilla pasta,Food and Beverage,1100
2009,Mehmet Rustu Basaran,71,Turkey,M,"banking, gas",Energy,1100
2010,J. Hyatt Brown,80,United States,M,insurance,Finance and Investments,1100
2012,Hideyuki Busujima,65,Japan,M,pachinko machines,Gambling & Casinos,1100
2013,Cai Rongjun,45,China,M,electronic components,Technology,1100
2014,Cai Xiaoru,38,China,M,electronic components,Technology,1100
2015,Delfin Jorge Ezequiel Carballo,65,Argentina,M,banking,Finance and Investments,1100
2016,Chen Jinshi,55,China,M,"construction, real estate",Real Estate,1100
2017,Chen Qixing,58,China,M,electronics components,Technology,1100
2018,Chen Shiliang,54,China,M,polyester,Manufacturing,1100
2019,Chen Xiaxin,56,China,M,industrial machinery,Diversified,1100
2023,Gustavo Cisneros,73,Venezuela,M,media,Media & Entertainment,1100
2024,Sandor Csanyi,65,Hungary,M,"finance, real estate",Diversified,1100
2025,Cui Lijie,60,Hong Kong,F,gambling,Gambling & Casinos,1100
2026,Dang Yanbao,45,China,M,coal,Metals & Mining,1100
2027,Bharat Desai,65,United States,M,IT consulting,Technology,1100
2028,Joseph Edelman,63,United States,M,hedge funds,Finance and Investments,1100
2030,Andrei Filatov,46,Russia,M,"ports, railway transport",Logistics,1100
2031,Paul Fireman,74,United States,M,Reebok,Fashion & Retail,1100
2032,J. Christopher Flowers,60,United States,M,investments,Finance and Investments,1100
2033,Fu Kwan,60,China,M,"real estate, diversified",Diversified,1100
2034,Sheela Gautam,86,India,F,mattresses,Fashion & Retail,1100
2035,Drew Houston,35,United States,M,file hosting service,Technology,1100
2036,Huang Shilin,51,China,M,storage batteries,Energy,1100
2037,Huang Wen Tsai,64,China,M,real estate,Real Estate,1100
2038,Mohammed Ibrahim,72,United Kingdom,M,communications,Telecom,1100
2039,Hiroshi Ishibashi,71,Japan,M,tires,Automotive,1100
2040,Bent Jensen,66,Denmark,M,electric linear systems,Manufacturing,1100
2041,Chatchai Kaewbootta,66,Thailand,M,auto loans,Finance and Investments,1100
2042,Jonas Kamprad,52,Sweden,M,IKEA,Finance and Investments,1100
2043,Mathias Kamprad,48,Sweden,M,IKEA,Finance and Investments,1100
2044,Peter Kamprad,54,Sweden,M,IKEA,Finance and Investments,1100
2046,Richard Kayne,72,United States,M,investments,Finance and Investments,1100
2047,Vladimir Kogan,55,Russia,M,banking,Diversified,1100
2048,Koh Wee Meng,54,Singapore,M,"real estate, hotels",Real Estate,1100
2049,Koo Bon-Joon,66,South Korea,M,"electronics, household products",Technology,1100
2050,Lam Lung On,53,China,M,real estate,Real Estate,1100
2051,Isaac Larian,64,United States,M,toys,Manufacturing,1100
2052,Frank Laukien,58,United States,M,scientific equipment,Manufacturing,1100
2053,Lee Joon-Ho,53,South Korea,M,online games,Technology,1100
2054,Lee Sang-Hyuk,47,South Korea,M,investments,Technology,1100
2055,Nancy Lerner,58,United States,F,"banking, credit cards",Finance and Investments,1100
2056,Norma Lerner,82,United States,F,banking,Finance and Investments,1100
