position,name,age,country,gender,wealthSource,industry,worth
1046,Joao Roberto Marinho,64,Brazil,M,media,Media & Entertainment,2400
1047,"Drayton McLane, Jr.",81,United States,M,"Wal-Mart, logistics",Fashion & Retail,2400
1048,Patrice Motsepe,56,South Africa,M,mining,Metals & Mining,2400
1049,Alfred Oetker,51,Germany,M,consumer goods,Fashion & Retail,2400
1050,August Oetker,74,Germany,M,consumer goods,Fashion & Retail,2400
1051,Carl Ferdinand Oetker,45,Germany,M,consumer goods,Fashion & Retail,2400
1052,Christian Oetker,70,Germany,M,consumer goods,Fashion & Retail,2400
1053,Julia Oetker,39,Germany,F,consumer goods,Fashion & Retail,2400
1054,Richard Oetker,67,Germany,M,consumer goods,Fashion & Retail,2400
1055,Daniel Pritzker,58,United States,M,"hotels, investments",Service,2400
1056,John Pritzker,65,United States,M,"hotels, investments",Finance and Investments,2400
1057,Nevaldo Rocha,88,Brazil,M,retail,Fashion & Retail,2400
1058,Luigi Rovati,89,Italy,M,pharmaceuticals,Healthcare,2400
1059,Ferit Faik Sahenk,54,Turkey,M,diversified,Diversified,2400
1060,Rosely Schweizer,77,Germany,F,consumer goods,Fashion & Retail,2400
1061,Eric Smidt,58,United States,M,hardware stores,Fashion & Retail,2400
1062,Alexander Spanos,94,United States,M,"real estate, Los Angeles Chargers",Sports,2400
1063,Leena Tewari,60,India,F,pharmaceuticals,Healthcare,2400
1064,Tong Jinquan,63,China,M,real estate,Real Estate,2400
1065,Peter Unger,73,Germany,M,auto repair,Automotive,2400
1066,Sunny Varkey,61,India,M,education,Service,2400
1067,Urs Wietlisbach,56,Switzerland,M,private equity,Finance and Investments,2400
1068,Michael Ying,68,Hong Kong,M,retail,Fashion & Retail,2400
1069,Yu Minhong,56,China,M,education,Service,2400
1070,Eva Maria Bucher-Haefner,61,Switzerland,F,Computer Associates,Technology,2300
1071,Chen Hua,52,China,M,real estate,Real Estate,2300
1072,Gustavo Denegri,82,Italy,M,biotech,Healthcare,2300
1073,Dermot Desmond,67,Ireland,M,finance,Finance and Investments,2300
1074,Murali Divi,67,India,M,pharmaceuticals,Healthcare,2300
1075,Thomas Flohr,48,Switzerland,M,VistaJet,Logistics,2300
1076,Bernard Fraisse,61,France,M,pharmaceuticals,Healthcare,2300
1077,Harsh Goenka,60,India,M,diversified,Diversified,2300
1078,David Gottesman,92,United States,M,investments,Finance and Investments,2300
1080,Bill Haslam,59,United States,M,truck stops,Fashion & Retail,2300
1081,Hu Baifan,55,China,M,pharmaceuticals,Healthcare,2300
1082,W. Herbert Hunt,89,United States,M,oil,Energy,2300
1083,Alijan Ibragimov,64,Kazakhstan,M,"mining, metals",Metals & Mining,2300
1084,Bradley Jacobs,61,United States,M,logistics,Logistics,2300
1085,Brad Kelley,61,United States,M,tobacco,Real Estate,2300
1086,Vinod Khosla,63,United States,M,venture capital,Technology,2300
1087,Stephen Lansdown,65,Guernsey,M,financial services,Finance and Investments,2300
1088,Martin Lau,45,Hong Kong,M,e-commerce,Technology,2300
1089,Lee Joong-Keun,77,South Korea,M,"construction, real estate",Construction & Engineering,2300
1090,Lin Li,55,China,M,investments,Finance and Investments,2300
1091,Kenneth Lo,79,United Kingdom,M,textiles,Finance and Investments,2300
1092,Alexander Machkevich,64,Israel,M,"mining, metals",Metals & Mining,2300
1093,Clayton Mathile,77,United States,M,pet food,Food and Beverage,2300
1094,Stanley Perron,95,Australia,M,"real estate, retail",Real Estate,2300
1095,J. Joe Ricketts,76,United States,M,TD Ameritrade,Finance and Investments,2300
1096,Dirk Rossmann,71,Germany,M,drugstores,Fashion & Retail,2300
1097,Filiz Sahenk,51,Turkey,F,diversified,Diversified,2300
1098,Dan Snyder,53,United States,M,Washington Redskins,Sports,2300
1099,Peter Spuhler,58,Switzerland,M,train cars,Manufacturing,2300
1100,Tang Yiu,84,Hong Kong,M,fashion retail,Fashion & Retail,2300
1101,John Tyson,64,United States,M,food processing,Food and Beverage,2300
1102,Wong Man Li,53,Hong Kong,M,furniture,Manufacturing,2300
1103,Lia Maria Aguiar,80,Brazil,F,banking,Finance and Investments,2200
1104,Aziz Akhannouch,57,Morocco,M,"petroleum, diversified",Diversified,2200
1105,Ron Baron,75,United States,M,money management,Finance and Investments,2200
1106,Shyam & Hari Bhartia,65,India,M,Diversified,Diversified,2200
1107,Timothy Boyle,68,United States,M,Columbia Sportswear,Fashion & Retail,2200
